node_id,node_label,category_name,catalog_rows,pdf_url_documents,distinct_exam_codes,distinct_exam_category_pairs,distinct_subject_names,year_min,year_max,top_exam_level
civil_service_core,公務人員高普初等與一般行政類,會計,286,618,34,49,26,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,財稅行政,274,616,32,47,23,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,人事行政,328,577,41,56,29,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,一般行政,268,541,31,46,18,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,電子工程,330,524,41,56,26,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,金融保險,312,519,37,51,25,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,社會行政,274,501,32,47,23,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,勞工行政,270,475,31,46,24,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,教育行政,272,463,31,46,19,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,統計,268,455,31,46,19,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,經建行政,268,455,31,46,18,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,地政,274,425,32,47,27,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,交通行政,272,421,31,46,25,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,一般民政,212,411,17,32,17,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,電力工程,308,411,29,50,22,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,資訊處理,291,396,30,45,30,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,土木工程,300,387,30,46,29,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,農業技術,284,370,28,43,17,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,戶政,204,363,17,31,25,100,115,高考三級
civil_service_core,公務人員高普初等與一般行政類,機械工程,279,363,26,44,24,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,建築工程,270,355,26,41,25,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,財經廉政,190,342,14,28,20,101,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,衛生技術,257,337,24,42,30,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,化學工程,238,328,20,37,25,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,客家事務行政,187,326,15,27,13,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,交通技術,245,325,22,37,26,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,水利工程,242,321,21,36,21,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,都市計畫技術,240,320,21,36,26,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,法律廉政,190,313,14,28,18,101,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,商業行政,161,310,13,23,14,100,113,高考三級
civil_service_core,公務人員高普初等與一般行政類,環保技術,222,300,18,33,17,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,圖書資訊管理,160,297,30,32,16,100,115,普通考試
civil_service_core,公務人員高普初等與一般行政類,衛生行政,204,297,15,30,17,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,測量製圖,216,293,17,32,27,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,農業行政,200,291,15,29,13,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,環境工程,216,290,18,32,20,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,園藝,221,289,23,33,19,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,養殖技術,219,287,24,33,20,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,氣象,210,286,16,31,19,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,環保行政,210,286,16,31,15,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,環境檢驗,210,286,16,31,17,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,法制,198,283,28,29,18,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,電信工程,182,282,15,27,13,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,林業技術,206,281,15,30,15,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,水土保持工程,204,277,16,30,20,100,114,高考三級
civil_service_core,公務人員高普初等與一般行政類,文化行政,198,270,15,29,14,100,114,高考三級
