node_id,node_label,category_name,subject_name,catalog_rows,pdf_url_documents,distinct_exam_codes,year_min,year_max
civil_service_core,公務人員高普初等與一般行政類,一般保險公證人,一般保險公證報告,3,3,3,103,105
civil_service_core,公務人員高普初等與一般行政類,一般保險公證人,一般查勘鑑定,3,3,3,103,105
civil_service_core,公務人員高普初等與一般行政類,一般保險公證人,估價與理算概要,3,4,3,103,105
civil_service_core,公務人員高普初等與一般行政類,一般保險公證人,保險法規概要,3,6,3,103,105
civil_service_core,公務人員高普初等與一般行政類,一般民政,法學知識與英文（包括中華民國憲法、法學緒論、英文）,30,72,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,國文（作文、公文與測驗）,24,51,12,100,111
civil_service_core,公務人員高普初等與一般行政類,一般民政,地方政府與政治,15,15,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,地方自治概要,15,30,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,政治學,15,15,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,行政學,15,33,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,行政學概要,15,40,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,行政法,15,34,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,行政法概要,15,37,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,公共政策,13,13,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般民政,政治學概要,13,28,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般民政,民法總則與刑法總則,13,13,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般民政,國文（作文與測驗）,6,12,3,112,114
civil_service_core,公務人員高普初等與一般行政類,一般民政,公民與英文,2,5,2,114,115
civil_service_core,公務人員高普初等與一般行政類,一般民政,國文,2,4,2,114,115
civil_service_core,公務人員高普初等與一般行政類,一般民政,地方自治大意,2,4,2,114,115
civil_service_core,公務人員高普初等與一般行政類,一般民政,法學大意,2,5,2,114,115
civil_service_core,公務人員高普初等與一般行政類,一般行政,法學知識與英文（包括中華民國憲法、法學緒論、英文）,30,72,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,國文（作文、公文與測驗）,24,51,12,100,111
civil_service_core,公務人員高普初等與一般行政類,一般行政,公民與英文,16,38,16,100,115
civil_service_core,公務人員高普初等與一般行政類,一般行政,法學大意,16,39,16,100,115
civil_service_core,公務人員高普初等與一般行政類,一般行政,行政學大意,16,36,16,100,115
civil_service_core,公務人員高普初等與一般行政類,一般行政,公共政策,15,15,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,政治學,15,15,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,政治學概要,15,33,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,行政學,15,33,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,行政學概要,15,40,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,行政法,15,34,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,行政法概要,15,37,15,100,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,公共管理,13,13,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般行政,公共管理概要,13,27,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般行政,民法總則與刑法總則,13,13,13,100,112
civil_service_core,公務人員高普初等與一般行政類,一般行政,國文(包括公文格式用語),12,25,12,100,111
civil_service_core,公務人員高普初等與一般行政類,一般行政,國文（作文與測驗）,6,12,3,112,114
civil_service_core,公務人員高普初等與一般行政類,一般行政,國文,4,8,4,112,115
civil_service_core,公務人員高普初等與一般行政類,一般行政(一般組),公共政策研究,8,8,8,100,111
