official_category_track_id,working_scope,exam_level,category_label,category_code,category_name,catalog_rows,pdf_url_documents,distinct_exam_codes,distinct_subject_codes,distinct_subject_names,year_min,year_max,top_exam_labels
||603|,future_expansion,,,603,,2,2,1,2,2,102,102,102年公務及關務升官等考試、102年交通事業郵政、港務及公路人員升資考試
||604|,future_expansion,,,604,,2,2,1,2,2,102,102,102年公務及關務升官等考試、102年交通事業郵政、港務及公路人員升資考試
||614|,future_expansion,,,614,,1,1,1,1,1,102,102,102年公務及關務升官等考試、102年交通事業郵政、港務及公路人員升資考試
||712|,future_expansion,,,712,,1,1,1,1,1,102,102,102年公務及關務升官等考試、102年交通事業郵政、港務及公路人員升資考試
||713|,future_expansion,,,713,,1,1,1,1,1,102,102,102年公務及關務升官等考試、102年交通事業郵政、港務及公路人員升資考試
(一般警察)三等考試|(一般警察)三等考試_消防警察人員|303|消防警察人員,future_expansion,(一般警察)三等考試,(一般警察)三等考試_消防警察人員,303,消防警察人員,7,9,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)三等考試|(一般警察)三等考試_犯罪防治人員預防組|302|犯罪防治人員預防組,future_expansion,(一般警察)三等考試,(一般警察)三等考試_犯罪防治人員預防組,302,犯罪防治人員預防組,7,10,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)三等考試|(一般警察)三等考試_行政管理人員|305|行政管理人員,future_expansion,(一般警察)三等考試,(一般警察)三等考試_行政管理人員,305,行政管理人員,7,9,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)三等考試|(一般警察)三等考試_行政警察人員|301|行政警察人員,future_expansion,(一般警察)三等考試,(一般警察)三等考試_行政警察人員,301,行政警察人員,7,12,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)三等考試|(一般警察)三等考試_警察法制人員|304|警察法制人員,future_expansion,(一般警察)三等考試,(一般警察)三等考試_警察法制人員,304,警察法制人員,7,9,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)二等考試|(一般警察)二等考試_刑事警察人員數位鑑識組|201|刑事警察人員數位鑑識組,future_expansion,(一般警察)二等考試,(一般警察)二等考試_刑事警察人員數位鑑識組,201,刑事警察人員數位鑑識組,6,7,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)二等考試|(一般警察)二等考試_刑事警察人員犯罪分析組|203|刑事警察人員犯罪分析組,future_expansion,(一般警察)二等考試,(一般警察)二等考試_刑事警察人員犯罪分析組,203,刑事警察人員犯罪分析組,6,7,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)二等考試|(一般警察)二等考試_刑事警察人員電子監察組|202|刑事警察人員電子監察組,future_expansion,(一般警察)二等考試,(一般警察)二等考試_刑事警察人員電子監察組,202,刑事警察人員電子監察組,6,7,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)四等考試|(一般警察)四等考試_消防警察人員|402|消防警察人員,future_expansion,(一般警察)四等考試,(一般警察)四等考試_消防警察人員,402,消防警察人員,6,13,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(一般警察)四等考試|(一般警察)四等考試_行政警察人員|401|行政警察人員,future_expansion,(一般警察)四等考試,(一般警察)四等考試_行政警察人員,401,行政警察人員,6,13,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_交通警察人員交通組|507|交通警察人員交通組,future_expansion,(警察特考)三等考試,(警察特考)三等考試_交通警察人員交通組,507,交通警察人員交通組,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_交通警察人員電訊組|508|交通警察人員電訊組,future_expansion,(警察特考)三等考試,(警察特考)三等考試_交通警察人員電訊組,508,交通警察人員電訊組,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_公共安全人員|504|公共安全人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_公共安全人員,504,公共安全人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_刑事警察人員|503|刑事警察人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_刑事警察人員,503,刑事警察人員,7,13,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_刑事鑑識人員|510|刑事鑑識人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_刑事鑑識人員,510,刑事鑑識人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_國境警察人員|511|國境警察人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_國境警察人員,511,國境警察人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_外事警察人員(選試英語)|502|外事警察人員(選試英語),future_expansion,(警察特考)三等考試,(警察特考)三等考試_外事警察人員(選試英語),502,外事警察人員(選試英語),6,10,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_水上警察人員|512|水上警察人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_水上警察人員,512,水上警察人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_消防警察人員|506|消防警察人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_消防警察人員,506,消防警察人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_犯罪防治人員預防組|505|犯罪防治人員預防組,future_expansion,(警察特考)三等考試,(警察特考)三等考試_犯罪防治人員預防組,505,犯罪防治人員預防組,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_行政管理人員|514|行政管理人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_行政管理人員,514,行政管理人員,7,12,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_行政警察人員|501|行政警察人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_行政警察人員,501,行政警察人員,7,15,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_警察法制人員|513|警察法制人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_警察法制人員,513,警察法制人員,7,12,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)三等考試|(警察特考)三等考試_警察資訊管理人員|509|警察資訊管理人員,future_expansion,(警察特考)三等考試,(警察特考)三等考試_警察資訊管理人員,509,警察資訊管理人員,7,11,1,7,7,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)四等考試|(警察特考)四等考試_水上警察人員航海組|604|水上警察人員航海組,future_expansion,(警察特考)四等考試,(警察特考)四等考試_水上警察人員航海組,604,水上警察人員航海組,6,11,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)四等考試|(警察特考)四等考試_水上警察人員輪機組|603|水上警察人員輪機組,future_expansion,(警察特考)四等考試,(警察特考)四等考試_水上警察人員輪機組,603,水上警察人員輪機組,6,11,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)四等考試|(警察特考)四等考試_消防警察人員|602|消防警察人員,future_expansion,(警察特考)四等考試,(警察特考)四等考試_消防警察人員,602,消防警察人員,6,10,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
(警察特考)四等考試|(警察特考)四等考試_行政警察人員|601|行政警察人員,future_expansion,(警察特考)四等考試,(警察特考)四等考試_行政警察人員,601,行政警察人員,6,13,1,6,6,103,103,103年警察人員、一般警察人員、交通事業鐵路人員特考
一級考試高考一級|一級考試高考一級_衛生技術|101|衛生技術,future_expansion,一級考試高考一級,一級考試高考一級_衛生技術,101,衛生技術,3,3,1,3,3,101,101,101年公務人員高等考試一級暨二級考試第一試
一般警察三等考試|一般警察三等考試_外事警察人員(選試日語)|302|外事警察人員(選試日語),future_expansion,一般警察三等考試,一般警察三等考試_外事警察人員(選試日語),302,外事警察人員(選試日語),6,8,1,6,6,105,105,105年警察人員、一般警察人員及鐵路人員特考
一般警察三等考試|一般警察三等考試_外事警察人員(選試英語)|302|外事警察人員(選試英語),future_expansion,一般警察三等考試,一般警察三等考試_外事警察人員(選試英語),302,外事警察人員(選試英語),6,8,1,6,6,104,104,104年警察人員、一般警察人員、鐵路人員、退除役特考
一般警察三等考試|一般警察三等考試_外事警察人員（選試英語）|302|外事警察人員（選試英語）,future_expansion,一般警察三等考試,一般警察三等考試_外事警察人員（選試英語）,302,外事警察人員（選試英語）,12,17,2,9,6,106,108,108年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員考試、退除役軍人轉任公務人員考試 | 106年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員、退除役軍人轉任公務人員考試
一般警察三等考試|一般警察三等考試_消防警察人員|303|消防警察人員,future_expansion,一般警察三等考試,一般警察三等考試_消防警察人員,303,消防警察人員,14,18,2,13,10,109,110,110年公務人員特種考試警察人員考試、一般警察人員考試、國家安全情報人員考試、交通事業鐵路人員考試、退除役軍人轉任公務人員考試 | 109年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員考試
一般警察三等考試|一般警察三等考試_消防警察人員|304|消防警察人員,future_expansion,一般警察三等考試,一般警察三等考試_消防警察人員,304,消防警察人員,28,37,4,17,10,104,108,108年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員考試、退除役軍人轉任公務人員考試 | 106年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員、退除役軍人轉任公務人員考試 | 105年警察人員、一般警察人員及鐵路人員特考
一般警察三等考試|一般警察三等考試_犯罪防治人員預防組|302|犯罪防治人員預防組,future_expansion,一般警察三等考試,一般警察三等考試_犯罪防治人員預防組,302,犯罪防治人員預防組,14,20,2,12,9,109,110,110年公務人員特種考試警察人員考試、一般警察人員考試、國家安全情報人員考試、交通事業鐵路人員考試、退除役軍人轉任公務人員考試 | 109年公務人員特種考試警察人員考試、一般警察人員考試、交通事業鐵路人員考試
