category_name,family,rows,year_min,year_max,exam_code_count,top_label,example_exam
一等管輪,一等管輪,58,100,104,12,專技高考_一等管輪,103年第二次專門職業及技術人員高等暨普通考試航海人員考試【舊案補考】
一等管輪（加註）,一等管輪（加註）,12,100,101,6,專技高考_一等管輪（加註）,101年第二次專門職業及技術人員航海人員考試
一等船副,一等船副,59,100,104,12,專技高考_一等船副,104年第二次專門職業及技術人員高等暨普通考試航海人員考試【舊案補考】
不動產估價師,不動產估價師,105,100,114,15,專技高考_不動產估價師,114年專門職業及技術人員高等考試會計師、不動產估價師、專利師、植物診療師考試
中醫師,中醫師,49,100,104,7,高考_中醫師,104年第一次專技醫師中醫師分階段考試、中醫師營養師心理師護理師社會工作師考試
交通工程技師,交通工程技師,90,100,114,15,專技高考_交通工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
冶金工程技師,冶金工程技師,36,101,111,6,專技高考_冶金工程技師,111年專技人員高等考試建築師、31類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
冷凍空調工程技師,冷凍空調工程技師,90,100,114,15,專技高考_冷凍空調工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
化學工程技師,化學工程技師,90,100,114,15,專技高考_化學工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
園藝技師,園藝技師,90,100,114,15,專技高考_園藝技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
土木工程技師,土木工程技師,90,100,114,15,專技高考_土木工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
大地工程技師,大地工程技師,78,100,114,13,專技高考_大地工程技師,114年專技人員高等考試建築師、25類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
大地工程技師(二),大地工程技師,20,109,113,5,專技高考_大地工程技師(二),113年專技人員高等考試建築師、32類科技師(含第二次食品技師)、大地工程技師考試分階段考試(第二階段考試)暨普通考試不動產經紀人、記帳士考...
大地工程技師第一階段考試,大地工程技師,32,105,112,8,大地工程技師高等考試_大地工程技師第一階段考試,112年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通...
大地工程技師第二階段考試,大地工程技師,16,105,108,4,大地工程技師高等考試_大地工程技師第二階段考試,108年專技人員高等考試大地工程技師考試分階段考試、驗船師、引水人、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通考試地政士、專責...
大地工程技師考試分階段考試(第一階段考試),大地工程技師,12,113,115,3,大地工程技師高等考試_大地工程技師考試分階段考試(第一階段考試),115年專技人員高等考試大地工程技師考試分階段考試(第一階段考試)、驗船師、第一次食品技師考試、高等暨普通考試消防設備人員考試、普通考試地政...
